"mois","acteur_J","acteur_m"
"2022-01",175,5635
"2022-02",431,4662
"2022-03",519,4706
"2022-04",524,4014
"2022-05",605,4923
"2022-06",484,4666
"2022-07",493,4725
"2022-08",618,6529
"2022-09",869,7320
"2022-10",713,6426
"2022-11",750,5552
"2022-12",654,4572
"2023-01",996,7172
"2023-02",749,6786
"2023-03",814,6699
"2023-04",776,6065
"2023-05",806,6029
"2023-06",781,4422
"2023-07",933,5069
"2023-08",698,5458
"2023-09",982,5492
"2023-10",1069,4346
"2023-11",1220,3872
"2023-12",1010,3596
"2024-01",1875,6139
"2024-02",1504,4790
"2024-03",1486,4284
"2024-04",1288,3814
"2024-05",1395,3841
"2024-06",959,2528
"2024-07",1009,3064
"2024-08",904,3236
"2024-09",1413,3726
"2024-10",1377,3330
"2024-11",1061,2903
"2024-12",1226,3163
"2025-01",1772,4866
"2025-02",1366,4026
"2025-03",1478,3579
"2025-04",1283,2837
"2025-05",1384,3304
"2025-06",1023,2541
"2025-07",1116,5074
"2025-08",1037,4256
"2025-09",1295,4701
"2025-10",1074,4412
"2025-11",1174,3140
"2025-12",1095,2731
"2026-01",1385,3617
"2026-02",1223,3109
"2026-03",1048,2677
"2026-04",1062,3584
"2026-05",1113,3029
"2026-06",799,2288
