mois,acteur_J,acteur_m
2017-01,20141,10809
2017-02,18303,11437
2017-03,16989,9933
2017-04,15349,9225
2017-05,18417,10175
2017-06,17242,9083
2017-07,12777,8085
2017-08,12803,8067
2017-09,21201,12289
2017-10,18772,12667
2017-11,20021,12635
2017-12,20619,12600
2018-01,26690,18536
2018-02,25193,19141
2018-03,22993,15756
2018-04,19146,14818
2018-05,20406,14733
2018-06,24061,14862
2018-07,18640,12470
2018-08,16180,10993
2018-09,28217,19446
2018-10,24670,16879
2018-11,28542,18159
2018-12,26586,18480
2019-01,34365,26440
2019-02,31020,23219
2019-03,26813,21165
2019-04,27221,18970
2019-05,26353,19936
2019-06,25852,21224
2019-07,20520,16559
2019-08,19014,14500
2019-09,36361,26591
2019-10,30906,24133
2019-11,30032,23520
2019-12,32742,25690
2020-01,41915,31054
2020-02,37525,28568
2020-03,15064,9947
2020-04,13250,10858
2020-05,12401,10615
2020-06,32826,26068
2020-07,24085,20217
2020-08,22171,17853
2020-09,41475,35452
2020-10,38244,28091
2020-11,18084,15679
2020-12,20242,16412
2021-01,26032,22232
2021-02,24604,20634
2021-03,21794,17504
2021-04,19768,17207
2021-05,20955,18659
2021-06,36853,33567
2021-07,29564,25825
2021-08,27466,22056
2021-09,45199,35830
2021-10,38396,33012
2021-11,39491,33757
2021-12,42658,35972
2022-01,57495,42693
2022-02,49923,47083
2022-03,46908,38669
2022-04,44486,35110
2022-05,39702,34480
2022-06,44949,33719
2022-07,32054,29051
2022-08,32143,26448
2022-09,49872,40976
2022-10,41422,36035
2022-11,42232,38319
2022-12,46527,42705
2023-01,64080,53110
2023-02,56452,46589
2023-03,54194,44267
2023-04,44182,40624
2023-05,48467,36014
2023-06,46099,41956
2023-07,35924,31516
2023-08,35051,31115
2023-09,55464,54521
2023-10,49863,46310
2023-11,53863,43687
2023-12,50233,42251
2024-01,73369,68822
2024-02,62048,57182
2024-03,59904,50693
2024-04,57351,46439
2024-05,47272,47402
2024-06,52213,47038
2024-07,42303,34838
2024-08,38293,32862
2024-09,65253,55922
2024-10,54454,47814
2024-11,56837,47825
2024-12,56591,50301
2025-01,82125,67276
2025-02,73321,68436
2025-03,65282,49010
2025-04,57594,54632
2025-05,57803,55503
2025-06,58399,47227
2025-07,45989,39166
2025-08,41510,36806
2025-09,71187,57748
2025-10,67837,52342
2025-11,64598,51853
2025-12,61328,60194
2026-01,89854,78836
2026-02,77424,74756
2026-03,62902,64589
2026-04,60883,53890
2026-05,58518,56048
2026-06,63857,59419
