mois,acteur_J,acteur_m
2017-01,1660,2406
2017-02,1569,2367
2017-03,1509,2120
2017-04,1499,1879
2017-05,1441,2179
2017-06,1505,2207
2017-07,1284,1709
2017-08,1200,1509
2017-09,1927,2859
2017-10,1829,2221
2017-11,1803,2526
2017-12,1866,2796
2018-01,2698,3317
2018-02,2305,3220
2018-03,2115,3003
2018-04,2108,2712
2018-05,2120,2626
2018-06,2334,2923
2018-07,1691,2115
2018-08,1579,2181
2018-09,3075,3411
2018-10,2527,3421
2018-11,2630,3113
2018-12,2494,3252
2019-01,3612,4736
2019-02,3538,4032
2019-03,2985,3896
2019-04,2999,3801
2019-05,2918,3341
2019-06,3028,3733
2019-07,2282,2860
2019-08,2449,2785
2019-09,3754,4202
2019-10,3155,3699
2019-11,3536,4131
2019-12,3249,4152
2020-01,4809,5682
2020-02,4048,5370
2020-03,1501,1822
2020-04,1502,1761
2020-05,1569,1793
2020-06,3881,4324
2020-07,2917,3731
2020-08,2742,3307
2020-09,4305,5062
2020-10,3959,4902
2020-11,2241,2517
2020-12,2453,2788
2021-01,3248,3883
2021-02,2736,3302
2021-03,2723,3217
2021-04,2424,2885
2021-05,2422,2980
2021-06,4765,5770
2021-07,3697,3953
2021-08,3482,3638
2021-09,5307,6007
2021-10,4806,5307
2021-11,5028,5576
2021-12,5255,5760
2022-01,6688,7841
2022-02,6366,7542
2022-03,5409,6450
2022-04,4954,6356
2022-05,5551,5911
2022-06,5765,6880
2022-07,4083,4735
2022-08,4063,4145
2022-09,6548,6806
2022-10,5475,6471
2022-11,5825,6312
2022-12,6231,6679
2023-01,7885,9003
2023-02,7973,8195
2023-03,5716,7001
2023-04,6293,6203
2023-05,6136,6625
2023-06,6082,7135
2023-07,4700,5236
2023-08,3973,4577
2023-09,7242,8164
2023-10,6547,7241
2023-11,6977,6853
2023-12,6391,7291
2024-01,8584,9884
2024-02,8154,8681
2024-03,7771,8321
2024-04,6932,7707
2024-05,6702,7972
2024-06,7127,8030
2024-07,5286,5372
2024-08,5195,5176
2024-09,7926,9230
2024-10,7089,8092
2024-11,7129,8160
2024-12,6800,9566
2025-01,10140,11228
2025-02,9454,10768
2025-03,8286,9470
2025-04,7506,8552
2025-05,7118,8217
2025-06,7562,8733
2025-07,5741,6113
2025-08,5277,5910
2025-09,9032,9661
2025-10,8144,8711
2025-11,8806,9753
2025-12,8183,7984
2026-01,11181,12388
2026-02,10263,10271
2026-03,8260,9670
2026-04,8359,9562
2026-05,8460,9163
2026-06,9546,8704
